id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:us:6000kvvs,M 5.1 - south of the Fiji Islands,2023-07-27T12:00:00.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvvs,,2023-07-27 11:43:48 UTC,2023-07-27 11:43:48 UTC,24.851°S 179.267°W,384.36 km (238.83 mi),384.36,238.83,-24.8512 -179.2667,-384361,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:nc:73917266,"M 2.5 - 3 km NW of Pinnacles, CA",2023-07-27T14:52:26.151Z,https://earthquake.usgs.gov/earthquakes/eventpage/nc73917266,1,2023-07-27 11:41:22 UTC,2023-07-27 11:41:22 UTC,36.550°N 121.162°W,8.92 km (5.54 mi),8.92,5.54,36.5496674 -121.1624985,-8920,Past Day,Magnitude 2,Weak,None,nc,nc
urn:earthquake-usgs-gov:us:6000kvvm,"M 4.6 - 94 km NW of Copiapó, Chile",2023-07-27T11:41:32.481Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvvm,1,2023-07-27 11:13:02 UTC,2023-07-27 11:13:02 UTC,26.821°S 71.068°W,21.43 km (13.31 mi),21.43,13.31,-26.8213 -71.0678,-21427,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kvvl,"M 5.3 - 90 km NE of Shikotan, Russia",2023-07-27T11:21:35.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvvl,,2023-07-27 11:06:55 UTC,2023-07-27 11:06:55 UTC,44.318°N 147.591°E,84.89 km (52.75 mi),84.89,52.75,44.3177 147.5912,-84890,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvvb,"M 5.0 - 91 km SSE of Sola, Vanuatu",2023-07-27T09:48:29.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvvb,,2023-07-27 09:30:55 UTC,2023-07-27 09:30:55 UTC,14.630°S 167.899°E,10.00 km (6.21 mi),10.00,6.21,-14.6299 167.8989,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvv9,"M 4.9 - 91 km SSE of Sola, Vanuatu",2023-07-27T09:21:29.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvv9,,2023-07-27 09:05:33 UTC,2023-07-27 09:05:33 UTC,14.617°S 167.934°E,10.00 km (6.21 mi),10.00,6.21,-14.617 167.9342,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:2023208000,"M 3.9 - 58 km N of Cruz Bay, U.S. Virgin Islands",2023-07-27T08:45:44.754Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023208000,,2023-07-27 08:27:51 UTC,2023-07-27 08:27:51 UTC,18.855°N 64.753°W,49.00 km (30.45 mi),49.00,30.45,18.8553 -64.7525,-49000,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:tx:2023oouk,M 2.5 - western Texas,2023-07-27T12:58:24.719Z,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023oouk,,2023-07-27 07:42:07 UTC,2023-07-27 07:42:07 UTC,31.568°N 104.057°W,7.47 km (4.64 mi),7.47,4.64,31.56759707 -104.0565342,-7468.383789,Past Day,Magnitude 2,Weak,None,tx,tx
urn:earthquake-usgs-gov:nc:73917236,"M 2.6 - 3 km N of Piedmont, CA",2023-07-27T15:53:56.228Z,https://earthquake.usgs.gov/earthquakes/eventpage/nc73917236,313,2023-07-27 07:38:21 UTC,2023-07-27 07:38:21 UTC,37.854°N 122.237°W,8.92 km (5.54 mi),8.92,5.54,37.854332 -122.2366638,-8920,Past Day,Magnitude 2,Weak,None,nc,nc
urn:earthquake-usgs-gov:us:6000kvuz,"M 4.6 - 104 km SSE of Sola, Vanuatu",2023-07-27T08:09:11.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvuz,,2023-07-27 07:32:31 UTC,2023-07-27 07:32:31 UTC,14.672°S 168.072°E,10.00 km (6.21 mi),10.00,6.21,-14.6718 168.0724,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kvum,M 5.3 - Vanuatu,2023-07-27T09:08:01.118Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvum,,2023-07-27 07:03:00 UTC,2023-07-27 07:03:00 UTC,14.766°S 167.965°E,10.00 km (6.21 mi),10.00,6.21,-14.7663 167.9648,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:pr:71419338,"M 2.7 - 37 km SSW of Charlotte Amalie, U.S. Virgin Islands",2023-07-27T04:51:09.590Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419338,,2023-07-27 04:41:41 UTC,2023-07-27 04:41:41 UTC,18.034°N 65.070°W,7.68 km (4.77 mi),7.68,4.77,18.0343333333333 -65.0703333333333,-7680,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:hv:73498812,"M 3.1 - 53 km WSW of Captain Cook, Hawaii",2023-07-27T06:46:54.662Z,https://earthquake.usgs.gov/earthquakes/eventpage/hv73498812,1,2023-07-27 04:28:28 UTC,2023-07-27 04:28:28 UTC,19.235°N 156.346°W,39.28 km (24.41 mi),39.28,24.41,19.2351666666667 -156.3455,-39280,Past Day,Magnitude 3,Weak,None,hv,hv
urn:earthquake-usgs-gov:us:6000kvu7,M 4.4 - south of the Fiji Islands,2023-07-27T04:18:34.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvu7,,2023-07-27 03:56:36 UTC,2023-07-27 03:56:36 UTC,22.331°S 179.528°W,575.56 km (357.64 mi),575.56,357.64,-22.3313 -179.5276,-575562,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ak:0239k1rwbb,"M 2.6 - 56 km ESE of Denali Park, Alaska",2023-07-27T03:52:57.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239k1rwbb,,2023-07-27 03:34:58 UTC,2023-07-27 03:34:58 UTC,63.578°N 147.828°W,7.50 km (4.66 mi),7.50,4.66,63.5776 -147.8275,-7500,Past Day,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:us:6000kvts,"M 5.5 - 81 km SSE of Sola, Vanuatu",2023-07-27T03:29:18.888Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvts,,2023-07-27 01:25:51 UTC,2023-07-27 01:25:51 UTC,14.559°S 167.844°E,10.00 km (6.21 mi),10.00,6.21,-14.5586 167.844,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvtn,"M 4.9 - 110 km ENE of Port-Olry, Vanuatu",2023-07-27T10:17:05.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtn,,2023-07-27 00:41:14 UTC,2023-07-27 00:41:14 UTC,14.762°S 168.061°E,10.00 km (6.21 mi),10.00,6.21,-14.7615 168.0609,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kvtk,"M 5.5 - 102 km ESE of Hihifo, Tonga",2023-07-27T03:19:44.352Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtk,,2023-07-27 00:28:58 UTC,2023-07-27 00:28:58 UTC,16.255°S 172.886°W,10.00 km (6.21 mi),10.00,6.21,-16.2553 -172.8859,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvtf,"M 4.8 - Izu Islands, Japan region",2023-07-26T23:52:12.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtf,,2023-07-26 23:38:09 UTC,2023-07-26 23:38:09 UTC,31.669°N 138.227°E,354.72 km (220.41 mi),354.72,220.41,31.6689 138.2267,-354719,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:71419328,"M 3.2 - 36 km ENE of Cruz Bay, U.S. Virgin Islands",2023-07-26T23:37:40.200Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419328,,2023-07-26 23:17:00 UTC,2023-07-26 23:17:00 UTC,18.459°N 64.477°W,73.84 km (45.88 mi),73.84,45.88,18.4588333333333 -64.4765,-73840,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kvt9,"M 5.1 - 82 km SSE of Sola, Vanuatu",2023-07-26T23:31:10.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvt9,,2023-07-26 23:13:08 UTC,2023-07-26 23:13:08 UTC,14.542°S 167.906°E,10.44 km (6.49 mi),10.44,6.49,-14.5419 167.9056,-10442,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvsp,"M 4.6 - 81 km W of Tomamae, Japan",2023-07-26T22:52:53.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvsp,,2023-07-26 21:31:30 UTC,2023-07-26 21:31:30 UTC,44.335°N 140.629°E,230.51 km (143.23 mi),230.51,143.23,44.3346 140.6292,-230513,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ci:39623042,"M 2.5 - 19km W of Searles Valley, CA",2023-07-26T23:04:42.770Z,https://earthquake.usgs.gov/earthquakes/eventpage/ci39623042,,2023-07-26 20:49:00 UTC,2023-07-26 20:49:00 UTC,35.784°N 117.611°W,9.98 km (6.20 mi),9.98,6.20,35.7835 -117.6108333,-9980,Past Day,Magnitude 2,Weak,None,ci,ci
